#Winkel[°]  #Senkrecht[A]   #Maske/3    #Parallel[A]    #Maske/3    #Fehler_Senkrecht[A]    #Fehler_Parallel[A]
5           0.69e-4         0           0.46e-4         0           1e-4                    1e-4  
7           0.40e-4         0           0.40e-4         0           1e-4                    1e-4  
9           0.64e-4         0           0.44e-4         0           1e-4                    1e-4  
11          0.64e-4         0           0.44e-4         0           1e-4                    1e-4  
13          0.55e-4         0           0.40e-4         0           1e-4                    1e-4  
15          0.68e-4         0           0.45e-4         0           1e-4                    1e-4  
17          0.76e-4         0           0.45e-4         0           1e-4                    1e-4  
19          0.78e-4         0           0.45e-4         0           1e-4                    1e-4  
21          0.78e-4         0           0.40e-4         0           1e-4                    1e-4  
23          0.79e-4         0           0.44e-4         0           1e-4                    1e-4  
25          0.74e-4         0           0.42e-4         0           1e-4                    1e-4  
27          0.80e-4         0           0.43e-4         0           1e-4                    1e-4  
29          0.79e-4         0           0.42e-4         0           1e-4                    1e-4  
31          0.79e-4         0           0.41e-4         0           1e-4                    1e-4  
33          0.84e-4         0           0.40e-4         0           1e-4                    1e-4  
35          0.88e-4         0           0.38e-4         0           1e-4                    1e-4  
37          0.25e-3         1           0.38e-4         0           1e-3                    1e-4  
39          0.24e-3         1           0.96e-4         1           1e-3                    1e-4
41          0.25e-3         1           0.34e-4         0           1e-3                    1e-4  
43          0.27e-3         1           0.33e-4         0           1e-3                    1e-4  
45          0.25e-3         1           0.31e-4         0           1e-3                    1e-4  
47          0.29e-3         1           0.29e-4         0           1e-3                    1e-4  
49          0.29e-3         1           0.27e-4         0           1e-3                    1e-4  
51          0.25e-3         1           0.72e-4         1           1e-3                    1e-4
53          0.32e-3         1           0.70e-4         1           1e-3                    1e-4
55          0.31e-3         1           0.58e-4         1           1e-3                    1e-4
57          0.32e-3         1           0.54e-4         1           1e-3                    1e-4
59          0.34e-3         1           0.40e-4         1           1e-3                    1e-4
61          0.35e-3         1           0.40e-4         1           1e-3                    1e-4
63          0.34e-3         1           0.29e-4         1           1e-3                    1e-4
65          0.37e-3         1           0.25e-4         1           1e-3                    1e-4
67          0.38e-3         1           0.64e-5         0           1e-3                    1e-5  
69          0.42e-3         1           0.50e-5         0           1e-3                    1e-5  
70          0.41e-3         1           0.38e-5         0           1e-3                    1e-5  
71          0.44e-3         1           0.31e-5         0           1e-3                    1e-5  
72          0.42e-3         1           0.62e-5         1           1e-3                    1e-5
73          0.44e-3         1           0.48e-5         1           1e-3                    1e-5
74          0.45e-3         1           0.38e-5         1           1e-3                    1e-5
75          0.48e-3         1           0.42e-5         1           1e-3                    1e-5
76          0.49e-3         1           0.46e-5         1           1e-3                    1e-5
77          0.49e-3         1           0.62e-5         1           1e-3                    1e-5
78          0.52e-3         1           0.32e-5         0           1e-3                    1e-5  
79          0.52e-3         1           0.52e-5         0           1e-3                    1e-5  
80          0.53e-3         1           0.85e-5         0           1e-3                    1e-5  
82          0.50e-3         1           0.44e-4         1           1e-3                    1e-4
84          0.50e-3         1           0.83e-4         1           1e-3                    1e-4
86          0.65e-4         0           0.63e-4         1           1e-4                    1e-4
87          0.44e-5         1           0.52e-6         0           1e-5                    1e-6  
