#Grün                           #Gelb                           Violett
#Spannung [V]   #Strom [nA]     #Spannung [V]   #Strom [nA]     #Spannung [V]   #Strom [nA]                                 
-0.57           0               -0.45           0               -1.32           0
-0.56           0.003           -0.44           0.001           -1.31           0.002       
-0.55           0.005           -0.43           0.002           -1.30           0.003        
-0.54           0.008           -0.42           0.003           -1.29           0.004   
-0.53           0.010           -0.41           0.004           -1.28           0.006
-0.52           0.014           -0.40           0.005           -1.27           0.008
-0.51           0.017           -0.39           0.006           -1.26           0.009
-0.50           0.020           -0.38           0.007           -1.25           0.011
-0.49           0.024           -0.37           0.008           -1.24           0.012
-0.48           0.029           -0.36           0.010           -1.23           0.014
-0.47           0.034           -0.35           0.014           -1.22           0.016
