#Spannung [V]   #Strom[nA]
-1.14           0
-1.13           0,005
-1.12           0,007
-1.11           0,009
-1.10           0,011
-1.09           0,013
-1.08           0,016
-1.07           0,020
-1.06           0,023
-1.05           0,027
-1.04           0,031
-1.03           0,036
-1.02           0,039
-1.01           0,043
-1.00           0,047
-0.99           0,051
-0.98           0,052
-0.97           0,060
-0.96           0,065
-0.95           0,070
-0.94           0,077
-0.93           0,085
-0.92           0,090
-0.91           0,097
-0.90           0,100
-0.89           0,115
-0.88           0,125
-0.87           0,135
-0.86           0,140
-0.85           0,185
-0.84           0,200
-0.83           0,210
-0.82           0,225
-0.81           0,235
-0.80           0,250
-0.79           0,265
-0.78           0,275
-0.77           0,300
-0.70           0,400
-0.60           0,660
-0.50           0,960
-0.40           1,30
-0.30           1,90
-0.20           2,30
-0.10           2,60
 0.00           3,00
 0.10           3,20
 0.20           3,40
 0.30           3,50
 0.40           3,7
 0.50           4,0
 0.60           4,4
 0.70           4,6
 0.80           4,8
 0.90           5,0
 1.00           5,4
 2.00           7,7
 3.00           10
 4.00           12
 5.00           13
 6.00           14
 7.00           15
 8.00           16
 9.00           17
10.00           18
11.00           19
12.00           20
13.00           21
14.00           21
15.00           21
