#Spannung[V]    #Strom[mA]
0               0.000
3               0.006
6               0.014
9               0.023
12              0.033
15              0.044
18              0.058
21              0.073
24              0.090
27              0.100
30              0.123
33              0.144
36              0.163
39              0.181
42              0.202
45              0.223
48              0.246
51              0.270
54              0.295
57              0.322
60              0.349
70              0.435
80              0.521
90              0.607
100             0.681
120             0.835
140             0.959
160             1.068
180             1.146
200             1.201
220             1.238
240             1.263
250             1.272
