#Probenstrom[A]     #Hall-Spannung[mV]     #-Probenstrom[A]     #-Hall-Spannung[mV]
1                   0,018                        1              0,02                            
2                   0,033                        2              0,039
3                   0,048                        3              0,057
4                   0,064                        4              0,076
5                   0,08                         5              0,095
6                   0,095                        6              0,114
7                   0,111                        7              0,133
8                   0,127                        8              0,151
9                   0,143                        9              0,170
10                  0,159                        10             0,190        
