#Strom[A]   #Spannung[V]    #B-Feld[mT]     #Hall-Spannung[mV]
4           32              1230.0          0.018
3.6         29              1181.1          0.017
3.2         26              1069.9          0.016
2.8         22.5            953.1           0.015
2.4         19.5            819             0.013
2.0         16              685.4           0.012
1.8         14.5            619.7           0.011
1.6         13              545.0           0.010
1.4         11              477.9           0.009
1           8.5             342.5           0.008
