#Strom[A]   #Spannung[V]    #B-Feld[mT]     #Hall-Spannung[mV]
1           3.5             269.1           0.298
1.4         5               347.8           0.298
1.8         6.5             437.4           0.3
2.2         8               510.6           0.301
2.6         10              591.5           0.302
2.8         10.5            628.5           0.303
3.0         11              680.6           0.303
3.4         13              775.6           0.305
3.8         14.5            906.1           0.306
4.2         16              1033.3          0.308
