#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

8.0	    13.0
8.3	    11.0
8.8	    12.0
9.2	    11.0
9.6	    11.0
10.0	17.0
10.4	31.0
10.8	39.0
11.2	49.0
11.6	55.0
12.0	54.0
12.4	56.0
12.8	65.0
13.2	69.0
13.6	69.0
14.0	77.0
14.4	73.0
14.8	77.0
15.2	73.0
15.6	79.0
16.0	76.0
16.4	80.0
16.7	82.0
17.2	80.0
17.6	85.0
18.0	81.0
18.4	82.0
18.7	85.0
19.2	91.0
19.6	83.0
20.0	83.0
20.4	94.0
20.7	87.0
21.2	93.0
21.6	97.0
22.0	86.0
22.4	94.0
22.7	91.0
23.2	92.0
23.6	95.0
24.0	89.0
24.4	92.0
24.8	95.0
25.2	97.0
25.6	95.0
26.0	95.0
26.4	79.0
26.8	76.0
27.2	85.0
27.6	76.0
28.0	81.0
28.4	75.0
28.8	0.0
29.2	78.0
29.6	81.0
30.0	72.0
30.4	77.0
30.8	74.0
31.2	68.0
31.6	69.0
32.0	67.0
32.4	64.0
32.8	69.0
33.2	62.0
33.5	61.0
34.0	58.0
34.4	68.0
34.8	59.0
35.2	60.0
35.5	52.0
36.0	57.0
36.4	56.0
36.8	54.0
37.2	47.0
37.5	44.0
38.0	48.0
38.4	49.0
38.8	45.0
39.2	51.0
39.5	106.0
40.0	565.0
40.4	638.0
40.8	89.0
41.2	78.0
41.5	65.0
42.0	56.0
42.4	56.0
42.8	54.0
43.2	66.0
43.5	67.0
44.0	125.0
44.4	1719.0
44.8	2215.0
45.2	1239.0
45.5	79.0
46.0	53.0
46.4	41.0
46.8	43.0
47.2	36.0
47.5	35.0
48.0	32.0
48.4	32.0
48.8	31.0
49.2	30.0
49.6	24.0
50.0	25.0
50.4	28.0
50.8	23.0
51.2	25.0
51.6	20.0
52.0	22.0
