#Betriebsspannung [V]   #Zählrate   #Stromstärke[µA]
300                     0           0.1
320                     0           0.2
340                     15380       0.2
360                     15886       0.4
380                     16143       0.5
400                     16272       0.6
420                     16317       0.7
440                     16477       0.8
460                     16430       1.0
480                     16539       1.1
500                     16429       1.2
520                     16620       1.3
540                     16846       1.4
560                     16814       1.7
580                     16662       1.6
600                     16736       1.8
620                     16947       1.9
640                     16680       2.0
660                     16762       2.0
680                     17101       2.0
700                     17400       2.2
720                     17790       2.4
740                     18738       .
